,English,Bemba,Bemba2
949,Domicile,Bwikalo,
950,Donkey,Punda,
951,Door,Cibi,
952,Door post,Ingwe,
953,Doorway,Mwinshi,
954,Dormitory,ɧanda yakusendamamo,
955,Dorsal,Longololo lwa numa,
956,Dot,Itoni,
957,Double,Pabili,
958,Doubt,Twishika,
959,Dove,Cipêle,
960,Dovecot,Citele,
961,Down,Panshi,
962,Down (put),Teka panshi,
963,Downstream,Kwisamba lya mumana,
964,Dowry,Mpango,
965,Doze,Shipula,
966,Drag,Tinta,Kululal
967,Draw,Tinta,
968,Draw (line),Lenga,
969,Draw (water),Tapa menshi,
970,Draw (no winner),Filwâna,
971,Draught (drink),Musa,
972,Draught (wind),Mwela,
973,Dream,Cilôto,Lôta
974,Dregs (beer),Manshi,
975,Dress,Ilaya lyabanakashi,Fwika
976,Drill,Musumbo,
977,Drink,Nwa,Cakunwa
978,Drip,Tona,
979,Drip (cause to),Tonya,
980,Drive,Ensha,
981,Driver,Namutekenya,
982,Drizzle,Bufumi,Mima
983,Drop,Itoni,Pona
984,Drop (cause to),Ponya,
985,Dropay,Lusuku,
986,Drought,Cilala,
987,Drown,Nwensha,Nwêna
988,Drowse,Shipula,
989,Drug,Muti,Ndawa
990,Drum,ɧoma,
991,Drunk,Kolwa,
992,Drunkard,Mumwenshi,
993,Drunkeness,Bunwenshi,Kukolwa
994,Dry,Ma,Kama
995,Duck,Mbata,
996,Duck (wild),Coso,
997,Duiker,Mpombo,
998,Duiker (blue),Katimba,
999,Dumb person,Cibulu,
1000,Dumbness,Bucibulu,
1001,Dung,Citindi,Mafi yaɧombe
1002,During,Munshita ya,
1003,Dusk,Lumonangala,
1004,Dust,Lukungu,
1005,Duster,Citambala cakufûtilako,
1006,Duty,Ncito,Mulimo
1007,Dwarf,Kamuntu akepi,
1008,Dwell,Ikala,
1009,Dying,Pumbuka pa kufwa,Naka
1010,Dynamite,Cisalatini,
1011,Dysentery,Polomyo mulopa,Cele
1012,Dysfunctional,Fulungana,
1013,E,,
1014,Each,Onse,Cila
1015,Each one,Cila umo,
1016,Eager,Fwaisha,
1017,Eagle,Kapumpe,
1018,Ear,Kutwi,
1019,Earache,Mboboyo,
1020,Early,Lucelo,Kacelo
1021,Early (very),Lucelocelo,Kacelocelo
1022,Earn,Mwenamo,Lipilwa
1023,Earth,Calo,Isonde
1024,Earthquake,Cinkukuma,
1025,East,Kabanga,
1026,Easter,Ipasaka,
1027,Eastertide,Mwaka wa pasaka,
1028,Easy,Anguka,
1029,Eat,Lya,
1030,Eat (feast),Ipakishe,
1031,Edge (hole),Milomo,
1032,Edge (river),Isense,Lulamba
1033,Edible,Liwa,
1034,Educate,Funda,
1035,Education,Buleshi,Kufunda
1036,Effort,Maka,
1037,Egg,Lini,
1038,Eight,Cine konse konse,
1039,Either,Onse,
1040,Either,Atemwa,
1041,Eland,Nsefu,
1042,Elastic,Nyunsuluka,
1043,Elbow,Nkonkoni,
1044,Elder,Kalamba,
1045,Elect,Sala,
1046,Elegance,Busaka,
1047,Elephant,Nsofu,
1048,Elephantiasis,Mubamba,
1049,Elevate,Lundumanika,
1050,Else,Atemwa,
1051,Elsewhere,Kumbi,Pambi
1052,Embelish,Waminisha,
1053,Ember,Musolilo,
1054,Embrace,Fukatila,Kumbatila
1055,Emissary,Nkombe,Mutumishi
1056,Employ,Bomfya,Pêlo mulimo
1057,Empty,Pwa,
1058,Encircle,Shinga,
1059,Enclose,Ingisha,
1060,Enclosure,Lupango,
1061,Encourage,Kosho mutima,
1062,End,Mpela,Lutwe
1063,Enemy,Mulwani,
1064,Energetic,Shipa,
1065,Energetically,Maka maka,
1066,Engage (marriage),Kobekela,
1067,Engage (work),Pêlo mulimo,
1068,Engine,"""Ingini""",
1069,Enjoy,Shukila,
1070,Enlarge,Kusha,
1071,Enlighten,Panda mâno,Funda
1072,Enmity,Bulwani,
1073,Enough,Fula,
1074,Enslave,Cita musha,Lofya
1075,Entangle,Fundikanya,
1076,Enter,Ingila,
1077,Entice,Pimpila,
1078,Entire,Tuntulu,Onse
1079,Entirely,Onse nakalya,
1080,Entrance,Mwinshi,Mwingililo
1081,Enumerate,Lumbula,
1082,Envelope,Pomba,Nkupo
1083,Envious,Ba no mufimbila,
1084,Envoy,Nkombe,
1085,Epidemic,Cikuko,
1086,Epilepsy,Kakoshi-musa,Bushilu
1087,Epileptic fits,Shinsha,
1088,Equal,Lingana,
1089,Erase,Fûta,
1090,Erect,Imika,
1091,Err,Luba,
1092,Error,Cilubo,
1093,Escape,Pusumuka,Fyuka
1094,Escort,Shindika,
1095,Especially,Pali bubi,Ukucila
1096,Esteem,Mucinshi,
1097,Eternal,Pe,
1098,Eucharist,Lukalishitiya,
1099,Europe,Bulaya,
1100,European,Musungu,
1101,European (of),Cisungu,
1102,Evangelist,Mwalimu,
1103,Eve,Cibelushi,
1104,Even,Lingana,
1105,Even (though),Nangu,Nangula
1106,Evening,Cungulo,
1107,Ever,Tala,
1108,Ever since,Nshita yonse iyo,
1109,Everlasting,Pe,Belêlela
1110,Every,Onse,Cila
1111,Everybody,Onse,Muntu onse
1112,Everywhere,Mpanga yonse,Konsekonse
1113,Evidence,Bunte,
1114,Evil,Bubi,
1115,Evocation,Lubuko,
1116,Evocator,Kabuka,
1117,Evoke spirits,Buka,
1118,Exact,Ba bwino,
1119,Exactly,Na endi,Cine cine
1120,Exaggerate,Lemyo mulandu,
1121,Exaggeration,Mukunka bulunda nkoloko,
1122,Examination,Mashindano,
1123,Examine,Lengula,
1124,Example,Cilangililo,
1125,Excavate,Fonkola,
1126,Exceed,Cisha,Cila
1127,Excellent,Suma,Wama sana
1128,Except,Kano,
1129,Exchange,Kabula,Cinja
1130,Excrement,Busâli,Mafi
1131,Excuse (pardon),Belelo luse,
1132,Excuse (exempt),Fumya,
1133,Exhaust,Tembula,Fumuna
1134,Exhort,Konkomesha,
1135,Exhortation,Ifunde,
1136,Exhume,Shukula,
1137,Expect,Cetekela,
1138,Expectoration,Cikôla,
1139,Expel,Tamfya,
1140,Expensive,Koso mutengo,
1141,Experiment,Esha,
1142,Expert,Fundi,Cibinda
1143,Expiate,Fûtila,
1144,Explain,Londolola,
1145,Explode,Latula,Latuka
1146,Explore,Lengula,
1147,Extend,Tambalika,
1148,Extensible,Nyunsuluka,
1149,External,Kunse,
1150,Extinct,Shima,
1151,Extinguish,Shimya,
1152,Extol,Lumbanya,
1153,Extract (thorn),Bangula,
1154,Extract (tooth),Nukula,
1155,Extract (boil metal),Enga,
1156,Extraordinary,Ca ku kusungusha,
1157,Extremity,Lutwe,
1158,Eye,Linso,
1159,Eye (look at),Tontomesha,
1160,Eyebrow,Cikumbi,
1161,Eye cataract,Cibubi,
1162,Eyelash,Lukopyo,
1163,Eyelid,Cipa ca linso,
1164,Eye withness,Mona kumenso,
1165,F,,
1166,Fable,Lushimi,Mulumbe
1167,Fabricate,Panga,
1168,Face,Mpumi,
1169,Facilitate,Angusha,
1170,Fade,Fôta,Bonsa
1171,Faeces,Mafi,
1172,Faggot,Cifinga,
1173,Fail,Filwa,
1174,Faint,Tembuka,Fwa cipûpu
1175,Fair,Suma,
1176,Faith,Cisumino,
1177,Faithful,Cishinka,Cine cine
1178,Fall,Pôma,
1179,FALSE,Bufi,
1180,Fame,Lulumbi,
1181,Family,Lupwa,
1182,Famine,Cipôwe,
1183,Famous,Lumbuka,
1184,Far,Kutali,
1185,Farewell,Shalikapo,
1186,Farm,Ibala,"""Famu"""
1187,Farmer,Mulimi,
1188,Fast,Lubilo,
1189,Fasten,Ikasha,
1190,Fat,Mafuta,
1191,Fat (oily),Nona,
1192,Fat (big),Ina,
1193,Father,Tâta,
1194,Father of twins,Shimpundu,
1195,Father in law,Pongoshi,
1196,Fattem,Inya,
1197,Fault,Cilubo,
1198,Favour,Afwa,
1199,Favourite,Kacele,Mubile
1200,Fear,Mwenso,
1201,Fearless,Pama,
1202,Feast,Malila,
1203,Feather,Isako,
1204,February,Kabengele kakalamba,
1205,Fecundate,Imisha,
1206,Fed up,Tendwa,
1207,Feeble,Bonsa,
1208,Feed,Lisha,
1209,Feel,Umfwa,
1210,Fell,Tema,
1211,Fellow,Mune,
1212,Female,Kota,
1213,Feminine,Anakashi,
1214,Fense,Ilinga,Lubao
1215,Ferment,Nsashiko,
1216,Fern,Luputu,
1217,Ferocious,Kali,
1218,Ferocity,Bukali,Bunkalwe
1219,Ferry,Cikwepe,
1220,Fertile,Funda,
1221,Fetch,Fwaya,
1222,Fetish,Kalubi,
1223,Fever,Mpepo,
1224,Few,Mo,
1225,Fiancé,Lumbwe,
1226,Fiancée,Nkobekelwa,
1227,Field,Ibala,Cilime
1228,Fierce,Kali,
1229,Fig tree,Mukunyu,
1230,Fight,Lubuli,Lwa
1231,File (tool),Fûpa,
1232,File (line),Mulongo,
1233,Fill,Isusha,Paka
1234,Fill (hole),Shîka,
1235,Filter,Nceemeko,Cemeka
1236,Filth,Ciko,
1237,Filthy,Ba ne fiko,
1238,Finally,Suka,
1239,Find,Sanga,
1240,Fine,Lipilisha,
1241,Fine,Suma,
1242,Fine (thin),Anguka,
1243,Finger,Munwe,
1244,Finger (thumb),Cikumo,
1245,Finger 1st,Nkomfola musunga,
1246,Finger 2nd,Munwe nkalamba,
1247,Finger 3rd,Cikonka kantengesha,
1248,Finger (little),Kantengesha,
1249,Finger nail,Lwala,
1250,Finger (ring),Mbalaminwe,
1251,Finish,Pwa,
1252,Fire,Mulilo,
1253,Firearm,Canso,
1254,Firebrand,Cishishi ca mulilo,
1255,Fire fly,Cishishi ca mulilo,
1256,Fire place,Ishiko,
1257,Fire poker,Musolilo,
1258,Firewood,Lukuni,
1259,First,Ntanshi,
1260,First born,Ibeli,
1261,Fish,Isabi,
1262,Fish bone,Umunga we sabi,
1263,Fish eagle,Cembe,Nkwashi
1264,Fish hook,Bulobo,
1265,Fish poison,Buba,
1266,Fish trap,Mono,
1267,Fisherman,Mulondo,
1268,Fist,Ikôfi,Cifunshi
1269,Fit,Linga,
1270,Five,Fisano,
1271,Fix,Kambatika,
1272,Flag staff,Mulongoti,
1273,Flame,Lubingu,
1274,Flash,Byata,
1275,Flask,Musukupala,
1276,Flat,Papâtala,
1277,Flatten,Papâtika,
1278,Flatter,Senga,
1279,Flatterer,Mufukila kubili,
1280,Flatulence,Cisushi,
1281,Flavour,Cinunshi,
1282,Flea,Lupantila,
1283,Flee,Fyuka,Butuka
1284,Flesh,Munofu,
1285,Flexible,Kondenkana,
1286,Float,Elêla,
1287,Flog,Lapika,
1288,Flood,Lyeshi,Bundwa
1289,Floor,Ica panshi,
1290,Floor,Bunga,
1291,Flow,Pita,
1292,Flower,Iluba,
1293,Fluff (hair),Ifufu,
1294,Flute,Mutôlilo,
1295,Fly (insect),Lunshi,
1296,Fly,Pupuka,
1297,Foam,Ifulo,
1298,Foe,Mulwani,
1299,Foetus,Ifumo,
1300,Fog,Fubefube,
1301,Fold,Peta,
1302,Follow,Konka,
1303,Following,Konkapo,
1304,Folly,Buwelewele,
1305,Fond (like),Fwaisha,
1306,Food,Cilyo,Cakulya
1307,Food for journey,Mpao,
1308,Fool,Cipuba,
1309,Foolishness,Buwelewele,
1310,Foot,Lukasa,
1311,Football,Mupila,
1312,Footpath,Nshila,Kashila
1313,Footprint,Makasa,
1314,For,Ku,
1315,Forbid,Lesha,
1316,Force,Patika,Maka
1317,Foreboding,Lucêbu,
1318,Ford,Cabu,
1319,Forefather,Cikolwe,
1320,Forehead,Mpumi,
1321,Foreign,Eni,
1322,Foreigner,Mweni,
1323,Foreman,Kapitao,
1324,Forenoon,Lucelo,
1325,Forest,Mutengo,Mpanga
1326,Forge,Fula,
1327,Forget,Laba,
1328,Forgetful,Ba ne cilafi,
1329,Forgetfulness,Cilafi,
1330,Forgive,Belelo luse,
1331,Fork (of branch),Lupanda,
1332,Fork,"""Foloko""",
1333,Form,Musango,
1334,Formerly,Kale,Pa ntanshi
1335,Fornicate,Angala fyabipa,
1336,Fornication,Bupulumushi,
1337,Forsake,Lekelesha,
1338,Forsaken,Nsansalila,
1339,Fortify,Kosha,
1340,Fortnight,Milungu ibili,
1341,Fortunate,Shuka,
1342,"Fortune, good",Ishuko,
1343,Forward,Tuma,Ku ntanshi
1344,Foster,Tentemba,
1345,Foster (parent),Muleshi,
1346,Found,Moneka,Londoka
1347,Foundation,Mufula,
1348,Fountain,Cishima,Kafumkwemfunkwe
1349,Four,Ne,
1350,Fowl,Nkoko,
1351,Fox,Mumbwe,Nkusa
1352,Fracture,Funa,
1353,Fraud,Bucenjeshi,
1354,Free,Lubula,
1355,Freely,Cabe,
1356,Freeze,Tikama,
1357,Frequently,Libili libili,
1358,Fresh,Bishi,
1359,Friday,Cisâno,
1360,Friend,Cibusa,
1361,Friend (my),Munandi,
1362,Friend (your),Munobe,
1363,Friendship,Bucibusa,
1364,Frighten,Tinya,
1365,Frightful,Cakutina,
1366,Frog,Cûla,
1367,From,Ku,Kuli
1368,Front,Pa ntanshi,Mpumi
1369,Frontier,Mupaka,
1370,Frost,Mpepo,
1371,Froth,Ifulo,
1372,Frown,Tembe nkanshi,
1373,Fruit,Citwalo,Mukoto
1374,Fry,Salula,
1375,Full,Isula,
1376,Fume,Cushi,
1377,Fun,Nseko,Milangwe
1378,Funeral,Cililo,
1379,Funnel,Mpakilo,
1380,Funny,Sekesha,
1381,Fur,Masako ya nama,
1382,Furious,Sakâtuka,
1383,Furnace,Ilungu,
1384,Furnish,Fwaila,
1385,Furrow,Mufôlo,Munyangala
1386,Further,Ukucila,
1387,Future,Nshita ikesa,Ku ntanshi
1388,G,,
1389,Gaiety,nsansa,
1390,Gain,Mwenamo,
1391,Gale,Cikûku ca mwêla,
1392,Gall,Ndusha,
1393,Game (sport),Cangalo,
1394,Game (animal),Nama sha kulunga,
1395,Game meat,Nama sha mpanga,
1396,Game pit,Bucinga,
1397,Gap,Mupokapoka,
1398,Gape,Asama,
1399,Garden,Ibala,Malimino
1400,Gardener,Shimalimino,
1401,Gargle,Sukusa,
1402,Garment,Cakufwala,Cifwalo
1403,Gate,Mpongolo,
1404,Gather,Longanya,
1405,Gather,Longana,
1406,Gathering,Cilonganino,Ibungwe
1407,Gay (happy),Ba ne nsansa,
1408,Gaze,Lolekesha,Tontomesha menso
1409,General,Onse,
1410,Generosity,Bupe,
1411,Generous,Wa bupe,
1412,Gentile,Musenshi,
1413,Gentleman,Muntu wa cindama,Muntu wa mibêle isuma
1414,Gentleness,Cikûku,
1415,Genuflect,Tibila,Fuka kulu kumo
1416,Germ,Musonga,
1417,Germinate,Mena,
1418,Get,Poka,
1419,Get away,Fumapo,
1420,Get back,Bwela,
1421,Get down,Ika,
1422,Get out,Fumapo,
1423,Get up,Ima,
1424,Ghost,Ciwa,Mulungulwa
1425,Ghost (Holy),Mweo Mutakatifu,
1426,Giant,Cimuntu,
1427,Giddiness,Lunshingwa,
1428,Gift,Bupe,
1429,Giraffe,Ndyabuluba,
1430,Girdle,Mushingo,
1431,Girl,Mukashana,Mwanakashi mwaice
1432,Give,Pela,Pa
1433,Give back,Bwesha,
1434,Give in,Cimba,
1435,Give up,Leka,
1436,Gizzard,Nondo,
1437,Glance,Ceba,
1438,Gland (swollen lymph),Mutantamfula,
1439,Glitter,Beka,
1440,Gloominess,Cintefwila,
1441,Glorify,Lumbanya,
1442,Glory,Malumbo,
1443,Glue,Kambatika,
1444,Gluttony,Bulili,
1445,Gnash teeth,Senganya mêno,
1446,Gnaw,Kokota,
1447,Go,Ya,Enda
1448,Goat,Mbushi,
1449,Goat (male),Sâwe,
1450,Go-away bird,Kûwe,
1451,God,Lesa,Mulungu
1452,Godchild,Mwana wa lubatisho,
1453,Godfather,Wishi wa lubatisho,
1454,Godmother,Nyina wa lubatisho,
1455,Godparent,Mwiminishi,
1456,Goitre,Cibukulo,
1457,Gong,Lubembo,
1458,Good,Suma,Wamya
1459,Good-bye (stay well),Shalenipo,
1460,Good-bye (travel well),Kafikênipo,
1461,Good day,Mwapoleni,
1462,Good enough,Eyefilyako,
1463,Goose,Ishipi,
1464,Gooseberry,Lusongwa,
1465,Gorge,Mupokapoka,
1466,Gossip,Ilyashi,Lwambo
1467,Gouge out,Tonkola,
1468,Gourd,Nsupa,
1469,Govern,Têka bantu,
1470,Government,Buteko,Kamfulumende
1471,Governor,Kateka wa calo,
1472,Gown,Nkansu,
1473,Grace,Busuma,Nêma
1474,Graft,Alule mbuto,
1475,Grain,Luseke,Mbuto
1476,Grain bin,Butala,
1477,Grand,Kalamba,
1478,Grandchild,Mwishikulu,
1479,Grandfather,Shikulu,Sokulu
1480,Grandmother,Mama,Nokokulu
1481,Grant,Sumina,Pêla
1482,Grasp (grip),Fumbata,
1483,Grasp (understand),Tesha,
1484,Grass,Cani,
1485,Grasshopper,Kapâso,
1486,Grateful,Santika,
1487,Gratis,Cabe,
1488,Grave,Cilindi,Luputa lwa muntu
1489,Gravel,Nsakalabwe,
1490,Graveyard,Nshishi,
1491,Gravy,Muto,
1492,Grease,Mafuta,
1493,Great,Kalamba,
1494,Greatly,Pakalamba,
1495,Greatness,Bukalamba,
1496,Greediness,Bulili,
1497,Green (colour),Katapakatapa,
1498,Green (raw),Bishi,
1499,Greet,Celela,Posha
1500,Grey,Butuluka,
1501,Grief,Bulanda,
1502,Grimance,Isente,
1503,Grin,Censa,Ceneka
1504,Grind,Pela,
1505,Grip,Manika,
1506,Groan,Teta,ɧonta
1507,Ground,Panshi,
1508,Groundnut,Lubalala,
1509,Groundpea,Lutoyo,
1510,Group,Ibumba,Isese
1511,Grove,Mushitu,
1512,Grow,Kula,Lima
1513,Growl,Buluma,
1514,Grudge,Cikonko,Cipyu
1515,Gruel,Musunga,
1516,Grumble,Ilishanya,Isosha
1517,Guard,Linda,
1518,Guardian,Mulinshi,
1519,Guava,Ipêla,
1520,Guess,Elenganya,
1521,Guest,Mweni,
1522,Guide,Ntungulushi,Tungulula
1523,Guilty,Ba no mulandu,
1524,Guinea fowl,Ikanga,
1525,Gum,Cinyamuti,
1526,Gum (of teeth),Ciponshi,
1527,Gun,Mfuti,
1528,Gun powder,Maluti,
1529,H,,
1530,Habit,Mibêle,
1531,Habit (dress),Cakufwala,
1532,Hail (stones),Mfula ya mabwe,
1533,Hail (greet),Posha,
1534,Hair,Mushishi,
1535,Hair (body hair),Ipipi,
1536,Half,Pakati,
1537,Halt,Iminina,Iminika
1538,Halve,Putula pakati,
1539,Hammer,Nondo,
1540,Hammer,Pampamina,
1541,Hammock,Icila,
1542,Hand,Cisansa,
1543,Handcuff,Nshimbi sha kalyati,
1544,Handful,Lupi pa,
1545,Handicraft,Bufundi,
1546,Handkerchief,Citambala ca kufyonenamo,
1547,Handle,Mupini,
1548,Hang,Kobeka,
1549,Hang (suicide),Ikulika,
1550,Happen,Citika,
1551,Happiness,Nsansa,
1552,Happy,Ba ne nsansa,
1553,Harbour,Câbu,
1554,Hard,Kosa,
1555,Harden,Kosha,
1556,Hard-headed,Koso mutwe,
1557,Hard-hearted,Koso mutima,Uma ku mutima
1558,Hard-heartedness,Bunkalwe,Bulûlu
1559,Hardly,Kwempe,
1560,Hardship,Bwafya,
1561,Hare,Kalulu,
1562,Hark,Umfwa,
1563,Harlot,Iule,Ketwa
1564,Harm,Bubi,
1565,Harmful,Bipila,
1566,Harmonium,Cinanda,
1567,Harpoon,Cibingu,
1568,Harsh,Kalwe,
1569,Harshness,Bunkalwe,
1570,Hartebeest,Nkonshi,
1571,Harvest,Kusêpa,
1572,Haste,Lubilo,
1573,Hasten,Anguka,
1574,Hat,Cisote,
1575,Hatch (eggs),Tôta mani,
1576,Hate,Pata,
1577,Hatred,Lupato,
1578,Have,Kwata,
1579,Hawk,Pungwa,
1580,Hawk (Shikra),Lukoshi,
1581,Hawker,Musulwishi,
1582,Head,Mutwe,
1583,Headman,Kapitao,
1584,Heal,Posha,
1585,Health,Mutende,
1586,Healthy,Ba mutende,
1587,Heap,Mwina,
1588,Hear,Umfwa,
1589,Heart,Mutima,
1590,Hearth,Ishiko,
1591,Heat,Cikabilila,
1592,Heat up,Kafya,
1593,Heathen,Musenshi,
1594,Heaven,Mûlu,
1595,Heavy,Fina,
1596,Hedge,Ilinga,
1597,Heel,Citende,
1598,He-goat,Sawe,
1599,Height,Butali,
1600,Heir,Mpyani,
1601,Hell,Mulilo wa pe,
1602,Help,Afwa,Cafwilisho
1603,Helper,Bukota,Kâfwa
1604,Helpful,Tumike,
1605,Hemp,Ibange,
1606,Hen,Nkoko,
1607,Hence,E ico,Êco
1608,Henceforth,Kuntanshi,
1609,Herald,Kabila wa mbila,
1610,Herd,Ibumba,
1611,Herdsman,Kacema,
1612,Here,Kuno,Pano
1613,Heredity,Cifyalilo,
1614,Hereupon,Ninshi,
1615,Heron,Nkôba,
1616,Hesitate,Twishika,
1617,Hey,E,
1618,Hiccup,Muntekunteku,
1619,Hide,Fisa,
1620,Hide (skin),Mukupo,
1621,High,Tali,
1622,Hill,Lupili,
1623,Him,Akwe,
1624,Himself,Mwine,
1625,Hinder,Fufya,
1626,Hindrance,Cilesha,
1627,Hip,Lutungu,
1628,Hippo,Mfubu,
1629,Hippopotamus,Mfubu,
1630,Hire,Ashima,
1631,History (ancient),Milandu ya kale,
1632,History (modern),Milandu ya nomba,
1633,Hit,Uma,
1634,Hither,Kuno,
1635,Hive,Cilunda,
1636,Hoarse,Kome shiwi,
1637,Hoe,Lukasu,
1638,Hold,Ikata,
1639,Hole,Bwendo,Cilindi
1640,Holiday,Bushiku bwa kutusha,
1641,Holiness,Takatifu,
1642,Homage,Mucinshi,
1643,Homesick,Fuluka,
1644,Honest,Cishinka,
1645,Honestly,Bucishinka,
1646,Honey,Buci,
1647,Honeybird,ɧûni,
1648,Honeycomb,Cipepe,
1649,Honeyfly,Kabulubulu,
1650,Honour,Cindika,
1651,Honourable,Cindama,
1652,Honourableness,Bukata,
1653,Hoof,Lubondo,
1654,Hook,Bulobo,
1655,Hoot,Sopesha,
1656,Hop,Toboka,
1657,Hope,Cisubilo,
1658,Horn,Lusengo,
1659,Hornet,Ilonda,
1660,Horse,Mfwalashi,Kabalwe
1661,Hospital,Cipatâla,
1662,Horsefly,Cipobe,
1663,Host,Kasunga,
1664,Hostile,Lwani,
1665,Hostility,Bulwani,
1666,Hot,Kaba,
1667,Hotel,"""Otela""",
1668,Hour,Nsa,
1669,Hourly,Cila nsa,
1670,House,ɧanda,
1671,How,Shani,
1672,However,Nomba,Ngefyo
1673,How much,Shinga,
1674,How many (people),Banga,
1675,How many (diminutive),Tunga,
1676,How many (massive),Finga,
1677,Howl,Kûwa,
1678,Hum,Tâta,
1679,Human,Muntu,
1680,Humanity,Buntunse,Bumuntu
1681,Humble,Cefya,
1682,Hump,Ntengele,
1683,Hundred,Mwanda,
1684,Hunger,Nsala,
1685,Hunt,Lunga,
1686,Hunter,Mulunshi,Kalunga
1687,Huricane,Cikûku ca mwela,
1688,Hurry up,Endesha,Cincila
1689,Hurt,Kalipa,
1690,Husband,Muka,
1691,Husk,Cipâpa,
1692,Hut,ɧanda,
1693,Hyena,Cimbwi,
1694,Hymn,Lwimbo,
1695,Hypocrite,Wa ndimi shibili,
1696,I,,
1697,I (me),Ine,
1698,Ice,Menshi makâsa,
1699,Idea,Muntontonkanya,
1700,Identity,Cishibilo,
1701,Identity card,Citupa,
1702,Idiot,Ciwelewele,Cipumbu
1703,Idle,Naɧana,
1704,Idleness,Bunaɧani,Bulamu
1705,Idol,Kalubi,
1706,If,Nga,
1707,Ignore,Sûla,
1708,Iguana,Nsamba,
1709,Ill,Lwala,
1710,Illness,Bulwele,
1711,Ill-treat,Cito lucu,
1712,Illustrate,Langa,
1713,Image,Nsalamu,
1714,Imagination,Mwelenganya,
1715,Imagine,Elenganya,
1716,Imitate,Pashanya,
1717,Immediate,Ndakai,
1718,Immediately,Nombaline,
1719,Immerse,Abika,Tumpika
1720,Immorality,Bupulumushi,
1721,Impatient,Ba ne cipyu,
1722,Impediment,Cilesha,
1723,Impertinence,Musâlula,
1724,Implement,Cibombelo,
1725,Implore,Papâta,
1726,Important,Kalamba,
1727,Impossible,Ansha,
1728,Impotence,Bucibola,
1729,Imprison,Kaka,
1730,Improve,Wamya,
1731,In,Mu,
1732,Incence,Bubâni,
1733,Incision,Lulembo,
1734,Incite,Cinchisha,
1735,Incline (head),Iniko mutwe,
1736,Incline (body),Inama,
1737,Incline (slope),Mulundu,
1738,Include,Ingisha,
1739,Increase,Lunda,
1740,Incredible,Caku papusha,
1741,Increment,Bulundo,
1742,Indeed,Nakabushe,
1743,Independent,Itêke,
1744,Indegenous,Kaya,
1745,Indescretion,Bukwakwa,
1746,Individual,Umo,
1747,Infancy,Bunya,
1748,Infant,Kanya,
1749,Infect,Ambukila,
1750,Infection,Lwambu,
1751,Infinite,Pe,
1752,Infirm,Bonsa,
1753,Inflammation,Fundwefundwe,
1754,Inform,Ebako,
1755,Inhabitant,Mwikala calo,
1756,Inherit,Pyana,
1757,Inheritance,Bupyani,
1758,Injure,Cena,
1759,Injustice,Lufyengo,
1760,Innocent,Wakaele,
1761,Innocence,Bukaele,
1762,Innumerable,Te fya kupenda,
1763,Inquire,Bûsha,Ipusha
1764,Insane,Pena,
1765,Insect,Cishishi,
1766,Inside,Mukati,
1767,Insist,Pamfya,
1768,Inspect,Londa,
1769,Instantly,Nombaline,
1770,Instead,Mu ncende ya,
1771,Instigate,Sobelekanya,
1772,Instinct,Mutima,
1773,Instruct,Funda,
1774,Instrument,Cibombelo,
1775,Insufficient,Cepa,
1776,Insult,Tuka,
1777,Intact,Tuntulu,
1778,Intellect,Mâno,
1779,Intend,Fwaya,
1780,Intentionally,Ku kutemwa,
1781,Intercede,Papâtila,
1782,Intercessor,Bukota,Ndubulwila
1783,Interpret,Alula,
1784,Interpretor,Kapilibula,
1785,Interrupt,Cilinganya,
1786,Interweave,Pikula,
1787,Intestine,Bula,Mala
1788,Intimidate,Tinya,
1789,Into,Mu,
1790,Intone,Bûlo lwimbo,
1791,Intoxicate,Kolesha,
1792,Introduce,Ingisha,
1793,Indundate,Bundwa,
1794,Invent,Panga,
1795,Invite,Ita,Kûta
1796,Invitation,Bwite,
1797,Iron,Cêla,
1798,Irrigate,Tapilila,
1799,Irritable,Cipyu,
1800,Island,Cishi,
1801,Itch,Baba,
1802,Ivory,Lino lya nsofu,
1803,J - Z Coming soon,,
1804,Jackal,Mumbwe,
1805,Jail,Cifungo,
1806,January,Kabengele kanono,
1807,Jaw,Mubango wa kanwa,
1808,Jealousy,Mufimbila,
1809,Jeer,Wêla,
1810,Jesus,Yesu,
1811,Job,Ncito,
1812,Join,Kumbinkanya,
1813,Joint,Lupingu,
1814,Joke,Milangwe,Nseko
1815,Journey,Lwendo,
1816,Joy,Nsansa,
1817,Judge,Kaputula wa milandu,
1818,Judgement,Bupingushi,
1819,Juice,Menshi,
1820,July,Cikungulupepo,
1821,Jump,Ibaka,Toloka
1822,June,Kapepo kakalamba,
1823,K,,
1824,Keen,Fwaisha,
1825,Keep,Sunga,
1826,Key,Lufungulo,
1827,Kick,Panta,Munshele
1828,Kidney,Lufyo,
1829,Kill,Ipaya,
1830,Kiln,Cibili,Itanuma
1831,Kind,Wa luse,
1832,Kindle,Sanika,
1833,Kindness,Busuma,Cikûku
1834,King,Mfumu,
1835,Kingdom,Bufumu,
1836,Kiss,Shintiko mulomo ku,
1837,Kitchen,ɧanda ya kwipikilamo,
1838,Kite (black kite),Pungwa,
1839,Knapsack,Côla,
1840,Knead,Kanda,
1841,Knee,Ikufi,
1842,Kneeling,Bufukeme,
1843,Knife,Mwêle,
1844,Knit,Pikula,
1845,Knock,Konkonsha,
1846,Knot,Cifundo,
1847,Know,Ishiba,
1848,Knowledge,Mâno,
