,English,Bemba,Bemba2
225,Beginning,Intendekelo,
226,Behalf,Pa malo ya,
227,Behave,Tekanya,
228,Behaviour,Imicitile / imyendele,
229,Behead,Putulako umutwe,
230,Behind,Ku numa,
231,Behold,Lelo,
232,Being,Umuntu,
233,Belch,Byola,
234,Belie,Bepesha,
235,Belief,Ubusumino,
236,Believe,Sumina,
237,Bell,Inyenjele,
238,Bellows,Umuba,
239,Belly,Ifumo / mu nda,
240,Beloved,Umutemwika,
241,Below,Mwisamba,
242,Belt,Umushipi,
243,Bench,Imbao,
244,Bend,Peta / Icishoko / Inama,
245,Benediction,Ibalaka,
246,Benefit,Wamina,
247,Beseech,Papata,
248,Beside,Mupepi,
249,Besiege,Shinga,
250,Best,Wamisha,
251,Bet,Icipangano,
252,Betray,Sangukila,
253,Betroth,Kobekela,
254,Better,Wama ukucila,
255,Between,Pakati ka..,
256,Beverage,Icakunwa,
257,Beware,Cenjela,
258,Bewitch,Lowa,
259,Beyond,Peshilya,
260,Bible,Icipingo,
261,Biceps,Bombwe,
262,Bicycle,Incinga,
263,Bid,Eba,
264,Bifurcation (road),Masansa,
265,Big,..kulu / ...kalamba,
266,Bile,Indusha,
267,Bilharzia,Mubongola,
268,Bin,Ubutala,
269,Bind,Kaka,
270,Bird,Icuni / Akoni,
271,Birth,Ukufyalwa,
272,Bishop,Shikofu,
273,Bit,Panono / panini,
274,Bite,Suma,
275,Bitter,Lula,
276,Black,Fita,
277,Blacken,Fisha,
278,Blackish,Fituluka,
279,Black jack,Kasokopyo,
280,Blacksmith,Kafula,
281,Bladder,Icisu,
282,Blade,Cilimi,
283,Blame (falsely),Bepesha,
284,Blanket,Ubulangeti,
285,Blast furnace,Ilungu,
286,Blaze,Lubingu,
287,Bleed,Suma umulopa,
288,Blend,Sasha,
289,Bless,Balikila / Pala amate / Senamina,
290,Blessing,Ipalo,
291,Blind,Pofula,
292,Blindness,Ubupofu,
293,Blind person,Impofu,
294,Blink,Kapa,
295,Blister,Icitusha,
296,Blood,Umulopa,
297,Blood vessel,Umushipa wamulopa,
298,Bloom (flower),Satula,
299,Bloom (tree),Balula,
300,Blossom,Lutombo,
301,Blow (hit),Ulupumo,
302,Blow (nose),Fyona,
303,Blow (puff),Puta,
304,Blunder,Tena,
305,Blunt,Fupa,
306,Board,Ipulanga,
307,Boast,Amataki / Itakisha,
308,Boat,Ubwato,
309,Boatsman,Kashika wa bwato,
310,Body,Umubili,
311,Boggy,Tika,
312,Boil (water),Bila / Bilauka / Kafya,
313,Boil (pus),Icipute,
314,Bold,Pama,
315,Bone,Ifupa,
316,Book,Icitabo,
317,Boot,Insapato,
318,Border,Umupaka,
319,Bore (hole),Tula,
320,Boredom,Icitendwe,
321,Borer,Umusumbo,
322,Boring beetle,Lupese,
323,Born,-fyalwa,
324,Borrow,Ashima / Kongola,
325,Bosom,Iceni,
326,Both,Fyonse,
327,Bother,Sakamika,
328,Bottle,Umusukupala,
329,Bounce,Tama,
330,Boundary,Umupaka,
331,Bounty,Ubusuma,
332,Bow,Inama,
333,Bow (& arrow),Ubuta,
334,Bowel,Amala,
335,Bowl,Imbale,
336,Box,Imbokoshi,
337,Boy,Umwana mwaume,
338,Boy (youth),Umulumendo,
339,Bracelet (ivory),Ikosa,
340,Bracelet (grass),Cindele,
341,Bracelet (metal),Icinkwingili,
342,Bracelet (copper),Lusambo,
343,Brag,Amataki / Itakisha,
344,Brain,Bongo bongo,
345,Bran,Ifisense,
346,Branch,Umusambo,
347,Brave,Shipa / Pama,
348,Bread,Umukate,
349,Breadth,Ubukulu,
350,Break,Putula,
351,Break (pieces),Fungaula,
352,Break (fracture),Kontola Kontoka,
353,Break (rest),Tusha,
354,Break off,Mokola,
355,Break up,Pangulula,
356,Break (promise),Futuka,
357,Breakfast,-ikula,
358,Breast,Ibele,
359,Breast bone,Inkombe,
360,Breath,Umupu,
361,Breathe,Pema,
362,Breed,Sanda,
363,Brew (beer),Longa ubwalwa,
364,Bribe,Mafisa kanwa,
365,Brick,Itafwali,
366,Brick kiln,Icibili,
367,Bricklayer,Kakula wa njelwa,
368,Brick mould,Icikombola,
369,Bride,Nabwinga,
370,Bridegroom,Shibwinga,
371,Bridge,Ubulalo,
372,Bride price,Impango,
373,Bright,-Beka,
374,Brim,Milomo,
375,Bring,Leta,
376,Broad,Lepa,
377,Broaden,Lefya,
378,Broken,Tobeka,
379,Brook,Akamana,
380,Broom,Iceswa / Umukusao,
381,Brother,Indume,
382,Brotherhood,Bumunyina,
383,Brother-in law,Bukwe,
384,Bruise,Uluma / Cena,
385,Brush,Cifuti,
386,Brush (tooth),Umuswaki,
387,Brutality,Ubunkalwe,
388,Brute,Umunkalwe,
389,Bubble,Selauka,
390,Bucket,Imbeketi,
391,Bud,Ulutombo,
392,Buffalo,Imboo,
393,Bug (bed),Icipu,
394,Bugle,Ipenga,
395,Build,Kula / Panga,
396,Bull,Cilume,
